Designator,Mid X,Mid Y,Rotation,Layer
220pF1,82.0,-94.5,90.0,top
220pF2,65.0,-94.5,90.0,top
220pF3,99.0,-94.5,90.0,top
220pF4,116.0,-94.5,90.0,top
220pF5,133.0,-94.0,90.0,top
J1,60.0,-110.0,0.0,top
J2,131.0,-72.0,0.0,top
J3,77.0,-110.0,0.0,top
J4,94.0,-110.0,0.0,top
J5,111.0,-110.0,0.0,top
J6,128.0,-110.0,0.0,top
Q1,60.73,-87.36,180.0,top
Q2,77.73,-87.36,180.0,top
Q3,95.0,-87.36,180.0,top
Q4,111.27,-87.36,180.0,top
Q5,128.73,-87.36,180.0,top
R1,56.92,-100.0,270.0,top
R10,90.92,-100.0,270.0,top
R11,91.0,-95.0,90.0,top
R12,99.0,-104.92,180.0,top
R13,80.0,-74.0,270.0,top
R14,107.92,-100.0,270.0,top
R15,108.0,-95.0,90.0,top
R16,116.0,-104.92,180.0,top
R17,80.0,-71.0,270.0,top
R18,124.92,-100.0,270.0,top
R19,125.0,-95.0,90.0,top
R2,72.0,-85.92,0.0,top
R20,133.0,-105.08,180.0,top
R3,56.92,-95.0,90.0,top
R4,65.0,-104.92,180.0,top
R5,54.0,-85.92,0.0,top
R6,73.92,-100.0,270.0,top
R7,73.92,-95.0,90.0,top
R8,82.0,-104.92,180.0,top
R9,89.0,-85.92,0.0,top
U1,106.995,-75.0,180.0,top
U2,59.0,-67.0,90.0,top
